gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000261326	6.5696	6.6598	7.0358	6.6516	7.2182	7.0772	7.346	6.242
ENSG00000125944	12.8626	12.515	12.6287	12.3907	13.1674	12.8309	12.8703	13.4535
ENSG00000125945	9.1337	8.7711	9.0722	8.8249	10.8091	10.0637	10.336	9.8549
ENSG00000249087	5.867	5.7205	6.0914	6.7047	5.8129	5.7229	6.3249	5.1389
ENSG00000271420	3.7502	3.4618	3.7954	3.0187	3.6083	3.0187	3.0187	3.7818
ENSG00000204219	8.1722	8.4971	6.4931	7.2118	6.6028	4.2785	7.2365	6.242
ENSG00000232482	3.444	3.0187	3.0187	3.0187	3.0187	3.0187	3.697	3.0187
ENSG00000088280	9.3374	9.8128	8.2964	9.2461	9.0796	7.5342	8.6178	8.2958
ENSG00000007968	7.3075	6.7969	7.6523	7.7623	4.7439	5.6761	5.7856	7.1404
ENSG00000235052	3.0187	3.0187	3.0187	3.5816	3.8469	3.9232	3.697	3.5614
ENSG00000117318	10.8313	11.3446	10.4031	11.2967	9.1122	9.5398	9.7236	8.6192
ENSG00000197880	3.618	3.0187	3.0187	3.0187	3.0187	3.0187	3.5005	3.0187
ENSG00000142676	14.7297	15.2178	14.4256	14.677	14.3689	13.9384	14.3839	14.1435
ENSG00000011007	10.4749	10.454	11.143	10.4469	10.8053	11.1442	10.9078	11.6478
ENSG00000236810	4.6846	4.2402	4.522	4.9831	4.5207	4.702	4.8822	4.9206
ENSG00000057757	10.1112	10.342	10.0733	9.9139	9.7159	9.7748	9.5289	9.6616
ENSG00000011009	10.9494	11.0295	11.0346	11.2042	8.1891	7.4068	9.2785	9.097
ENSG00000117308	10.0468	10.3265	10.3241	10.4827	7.4515	6.3731	8.7883	8.2851
ENSG00000117305	9.6249	10.2463	9.3738	9.7768	9.1684	9.4862	9.7001	8.6063
ENSG00000179163	8.165	9.6604	7.5995	8.1146	10.6678	9.8526	9.5145	9.3869
ENSG00000188822	3.0187	3.0187	3.0187	3.5816	3.437	3.0187	3.0187	3.0187
ENSG00000229106	3.618	3.4618	3.0187	4.1245	3.0187	3.4764	3.5005	3.5614
ENSG00000230228	3.0187	3.7804	3.0187	3.8099	3.437	3.0187	3.5005	3.0187
ENSG00000189266	11.5934	11.2459	11.4137	11.1608	12.0161	11.9603	11.3684	11.7568
ENSG00000188529	11.4707	11.2468	11.3919	11.1663	12.2729	12.3888	11.6798	11.8518
ENSG00000215905	3.0187	3.4618	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187
ENSG00000225315	3.0187	3.4618	3.0187	3.0187	3.0187	3.0187	3.0187	3.0187
ENSG00000142661	3.8604	7.2127	6.2842	5.3521	3.0187	3.0187	3.5005	4.7277
ENSG00000142677	3.0187	4.2402	3.0187	3.5816	3.0187	3.0187	3.0187	3.0187
ENSG00000185436	3.0187	3.4618	3.0187	4.3578	3.9416	3.0187	3.5005	3.5614
ENSG00000158055	3.0187	3.7804	3.7954	3.9819	3.0187	3.6634	3.5005	4.086
ENSG00000001460	8.2142	8.3378	8.6215	8.5592	8.0123	7.4752	8.1227	8.5177
ENSG00000001461	9.2858	9.4961	9.3205	9.5717	9.7849	10.4369	9.5289	9.5677
ENSG00000117602	7.5997	8.5426	7.976	7.8353	6.7855	8.1383	6.9357	7.6129
ENSG00000184454	3.444	3.0187	3.0187	3.0187	3.6083	3.0187	5.2193	3.0187
ENSG00000133226	11.7382	11.0719	11.7951	11.6145	12.3477	12.0915	12.1123	12.8863
ENSG00000169504	14.3735	14.1546	13.9755	13.6245	14.7339	14.309	14.4145	14.9661
ENSG00000238482	3.0187	3.0187	3.0187	3.0187	3.0187	3.8051	4.5511	3.5614
ENSG00000020633	3.0187	3.0187	3.0187	3.5816	4.362	3.4764	3.0187	4.086
ENSG00000229162	3.0187	3.0187	3.0187	3.0187	3.6083	3.0187	3.0187	3.0187
ENSG00000117614	10.4229	10.5865	9.4602	10.1078	11.3347	10.8257	10.4325	10.2301
ENSG00000117616	10.2935	10.5115	10.1364	10.2404	11.4375	11.8872	10.793	9.9611
ENSG00000272432	3.7502	4.6026	3.0187	3.5816	3.6083	3.9232	3.697	3.0187
ENSG00000261349	4.9601	4.1654	3.0187	5.2568	6.2428	6.1376	4.8822	4.4973
ENSG00000187010	5.2151	4.4365	3.7954	5.6771	5.4199	7.1206	6.4055	4.2057
ENSG00000224183	4.9601	5.0311	4.6828	5.0427	4.8226	5.9938	4.833	4.4087
ENSG00000259984	4.1211	3.0187	3.0187	3.8099	4.3034	5.3247	4.5511	3.5614
ENSG00000183726	11.6128	11.9667	11.2452	11.4476	12.711	13.2115	11.7654	11.7612
