gene_id	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8
ENSG00000260141	0.7095	1.5415	9.6257	0	0.6862	0.8228	2.7371	0
ENSG00000261599	14.191	3.083	2.4064	1.2497	9.6073	16.4567	4.5618	4.6421
ENSG00000205457	0	0	0	0	0	0	0.9124	0
ENSG00000260827	0	0	0	0	1.3725	0	0	0
ENSG00000275034	0	0	0	0	0	0	0.9124	0
ENSG00000261509	0	0	0	0	0	0	0.9124	0
ENSG00000261009	0	0	0	0	1.3725	0	0	0
ENSG00000278848	0	0	0	0	0	0	0.9124	0
ENSG00000260626	0	0.7707	0	0	0	0	0	0
ENSG00000261200	4.2573	3.083	0	1.2497	0	0	0.9124	0
ENSG00000261405	0.7095	0.7707	4.8128	0	0	0	0	0
ENSG00000260518	28.382	21.581	4.8128	9.9978	8.2348	13.9882	0.9124	9.2842
ENSG00000282924	0	0	0	0	0	0.8228	0	0
ENSG00000260781	85.1459	73.9919	45.722	38.7416	4.1174	12.3425	15.5102	29.0132
ENSG00000198555	8.5146	29.2885	4.8128	0	2.0587	0	1.8247	2.3211
ENSG00000261217	4.2573	10.7905	2.4064	1.2497	0	0	0	0
ENSG00000260087	5.6764	0.7707	0	1.2497	0	0	0	1.1605
ENSG00000279800	828.0437	285.1771	1001.0704	623.6143	2117.7156	2163.2317	1335.7053	1635.1832
ENSG00000279165	1.4191	0	0	0	0	0	0.9124	0
ENSG00000260809	39.7347	42.3912	14.4385	17.4962	4.1174	5.7598	0.9124	5.8026
ENSG00000261461	17.0292	18.498	4.8128	2.4995	2.0587	1.6457	2.7371	4.6421
ENSG00000259791	0	0	0	1.2497	0	0	0	0
ENSG00000261620	2.8382	7.7075	14.4385	7.4984	16.4696	16.4567	20.0721	20.8895
ENSG00000261239	1.4191	1.5415	0	0	14.4109	0	43.7936	476.9768
ENSG00000171241	1932.8115	1055.1554	2416.045	1622.1471	306.06	249.3188	957.9853	2174.8285
ENSG00000261512	637.8846	459.3664	447.594	704.8467	223.0258	278.9409	371.3334	254.1555
ENSG00000259856	168.8727	95.5729	127.5402	184.9598	24.7044	32.9134	45.6183	27.8527
ENSG00000069329	4059.3299	4701.5692	4738.2396	3899.1518	6786.846	7922.2498	5349.2076	6360.8511
ENSG00000261131	1.4191	0	0	0	1.3725	0.8228	8.2113	1.1605
ENSG00000280376	0.7095	0.7707	0	0	0	4.1142	0.9124	2.3211
ENSG00000091651	549.9005	477.8644	765.2413	546.1312	87.1516	213.1141	248.1638	365.5662
ENSG00000140795	2.8382	0.7707	2.4064	1.2497	8.921	33.7362	1.8247	3.4816
ENSG00000260782	0	0	0	1.2497	0	0.8228	2.7371	2.3211
ENSG00000155330	276.0146	214.2682	194.92	171.2128	475.5596	567.7557	282.8338	331.9109
ENSG00000166123	446.3063	393.082	433.1555	498.6415	212.046	151.4015	162.4013	258.7976
ENSG00000069345	1945.5834	1876.0032	1727.8091	1752.1188	2053.8959	2222.4758	1685.1418	2240.9786
ENSG00000261173	1.4191	2.3122	0	0	0	0	0.9124	0
ENSG00000171208	938.0238	239.703	623.2626	421.1584	829.6559	1436.6689	590.3014	1036.351
ENSG00000260281	0.7095	1.5415	2.4064	1.2497	4.1174	2.4685	1.8247	0
ENSG00000239840	0	0	0	0	0	2.4685	0	1.1605
ENSG00000129636	1189.9137	2008.572	1114.1721	993.5339	4172.9839	4908.2073	2248.0722	2234.0154
ENSG00000260744	0	0	0	1.2497	0.6862	13.1654	7.2989	3.4816
ENSG00000279509	0	0	0	0	0	0.8228	5.4742	2.3211
ENSG00000260012	0.7095	0	0	0	0	1.6457	1.8247	0
ENSG00000261369	0	0	0	0	0	0.8228	3.6495	1.1605
ENSG00000102893	2230.1125	2205.8838	2069.5206	2107.0416	4312.2892	5068.66	3361.16	2629.7553
ENSG00000222268	0.7095	1.5415	0	1.2497	0	0.8228	0.9124	0
ENSG00000262038	0.7095	0	0	0	0	4.1142	0.9124	0
ENSG00000259866	0	0	2.4064	0	0.6862	2.4685	1.8247	4.6421
ENSG00000261336	2.1286	2.3122	2.4064	1.2497	5.4899	4.1142	7.2989	1.1605
